maranyane a mahala a le wena o kgonang go a fetola.	maraɲanɪ a mahala a lɪ wɪna ʊ k͡χʰʊnaŋ χʊ a fɪtʊla .
Ka 2020, Banka ya Botswana e ne ya ntsha pampiri e ntšha ya polymer ya dipula di le 10 e e nang le setshwantsho sa Tautona wa nako eo wa Botswana, Mokgweetsi Masisi.	ka dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi , banka ja bʊt͡swana ɪ nɪ ja nt͡sʰa pampiri ɪ nt͡ʃʰa ja pʊljmɪr ja dipula di lɪ lɪsʊmɪ ɪ ɪ naŋ lɪ sɪt͡sʰwant͡sʰʊ sa tautʊna wa nakʊ ɪʊ wa bʊt͡swana , mʊk͡χʰwɪɪt͡si masisi .
Motse wa Francistown gape o na le ditlhopa di le mmalwa tsa kgwele ya dinao. Tse di akaretsa Setlhopa sa Metshameko sa TAFIC, TASC FC (Setlhopa sa Metshameko ya Tati), [ nopolo e a tlhokega ] ECCO City Green, Great North Tigers FC (GNT) le tse dingwe.	mʊt͡sɪ wa frankistʊwn χapɪ ʊ na lɪ dit͡ɬʰʊpa di lɪ mmalwa t͡sa k͡χʰwɪlɪ ja dinaʊ . t͡sɪ di akarɪt͡sa sɪt͡ɬʰʊpa sa mɪt͡sʰamɪkʊ sa tafik , task fk sɪt͡ɬʰʊpa sa mɪt͡sʰamɪkʊ ja tati , nʊpʊlʊ ɪ a t͡ɬʰʊkɪχa ɪkkʊ kitj χrɪɪn , χrɪat nʊrtʰ tiχɪrs fk χnt lɪ t͡sɪ diŋwɪ .
2.Central Statistics Office (April 2002). "Population of Towns, Villages and Associated Localities" (PDF). 2001 Population and Housing Census. Gaborone, Botswana. Retrieved 3 July 2010.[permanent dead link]	bʊbɪdi . kɪntral statistiks ʊffikɪ april dikɪtɪ t͡sɪ pɪdi lɪ bʊbɪdi . pʊpulatiʊn ʊf tʊwns , villaχɪs and assʊkiatɪd lʊkalitiɪs pdf . dikɪtɪ t͡sɪ pɪdi lɪ bʊŋwɪ pʊpulatiʊn and hʊusiŋ kɪnsus . χabʊrʊnɪ , bʊt͡swana . rɪtriɪvɪd bʊrarʊ d͡ʒulj dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ . pɪrmanɪnt dɪad link
The new site for the town of Concepción became the main town of the Intendancy of Concepción, whose jurisdiction extended from the Maule River to La Frontera. The first Intendant of Concepción was the Irishman Ambrose O'Higgins, Marquis of Osorno, who later became Royal Governor of Chile and Viceroy of Peru.	tʰɪ nɪw sitɪ fʊr tʰɪ tʊwn ʊf kʊnkɪpkiʊn bɪkamɪ tʰɪ main tʊwn ʊf tʰɪ intɪndankj ʊf kʊnkɪpkiʊn , whʊsɪ d͡ʒurisdiktiʊn ɪkstɪndɪd frʊm tʰɪ maulɪ rivɪr tʊ la frʊntɪra . tʰɪ first intɪndant ʊf kʊnkɪpkiʊn was tʰɪ iriʃman ambrʊsɪ ʊ hiχχins , markuis ʊf ʊsʊrnʊ , whʊ latɪr bɪkamɪ rʊjal χʊvɪrnʊr ʊf khilɪ and vikɪrʊj ʊf pɪru .
Maunatlala ke motse o o mo kgaolong ya legare mo Botswana. Motse o o sekgele sa masome a marataro le botlhano go tsweng botlhaba jwa Palapye gape motse o o sekgele sa masome a marataro go tsweng molelwane wa Aferika Borwa. Mo palo bathong ya ngwaga wa 2001 dipalo di ne di le 3,180.	maunat͡ɬala kɪ mʊt͡sɪ ʊ ʊ mʊ k͡χʰaʊlʊŋ ja lɪχarɪ mʊ bʊt͡swana . mʊt͡sɪ ʊ ʊ sɪk͡χʰɪlɪ sa masʊmɪ a maratarʊ lɪ bʊt͡ɬʰanʊ χʊ t͡swɪŋ bʊt͡ɬʰaba d͡ʒwa palapjɪ χapɪ mʊt͡sɪ ʊ ʊ sɪk͡χʰɪlɪ sa masʊmɪ a maratarʊ χʊ t͡swɪŋ mʊlɪlwanɪ wa afɪrika bʊrwa . mʊ palʊ batʰʊŋ ja ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ bʊŋwɪ dipalʊ di nɪ di lɪ dikɪtɪ t͡sɪ tʰarʊ lɪ lɪk͡χʰʊlʊ lɪ masʊmɪ a fɪraŋ bʊbɪdi .
Mmereki wa botsogo fa a kupiwa ke molwetsi go pholodisa boimana, o ka ganana le seo fa a itlhopela go dira jalo, gape ba letwa ke molao go itsise molwetsi ka ditshwanelo tsa gagwe mme a mo fitlisetse kwa mmereking yo mongwe kgotsa kwa lefelong le a ka bonang thuso e a e batlang.	mmɪrɪki wa bʊt͡sʊχʊ fa a kupiwa kɪ mʊlwɪt͡si χʊ pʰʊlʊdisa bʊimana , ʊ ka χanana lɪ sɪʊ fa a it͡ɬʰʊpɪla χʊ dira d͡ʒalʊ , χapɪ ba lɪtwa kɪ mʊlaʊ χʊ it͡sisɪ mʊlwɪt͡si ka dit͡sʰwanɪlʊ t͡sa χaχwɪ mmɪ a mʊ fit͡ɬisɪt͡sɪ kwa mmɪrɪkiŋ jʊ mʊŋwɪ k͡χʰʊt͡sa kwa lɪfɪlʊŋ lɪ a ka bʊnaŋ tʰusʊ ɪ a ɪ bat͡ɬaŋ .
C. Michael Hogan (2008) Makgadikgadi , The Megalithic Portal, ed.	k . mikhaɪl hʊχan dikɪtɪ t͡sɪ pɪdi lɪ bʊfɪra bʊbɪdi mak͡χʰadik͡χʰadi , tʰɪ mɪχalitʰik pʊrtal , ɪd .
O tlhalositse le gore koporase ya metsi e na le kgwetlho a re ba tshelela metse e tshwana le Radisele, Mokgware, Tamasane le Malaka metsi.	ʊ t͡ɬʰalʊsit͡sɪ lɪ χʊrɪ kʊpʊrasɪ ja mɪt͡si ɪ na lɪ k͡χʰwɪt͡ɬʰʊ a rɪ ba t͡sʰɪlɪla mɪt͡sɪ ɪ t͡sʰwana lɪ radisɪlɪ , mʊk͡χʰwarɪ , tamasanɪ lɪ malaka mɪt͡si .
Mogapi ke motse o o mo kgaolong ya legare mo Botswana. Motsana o o dikhilomethara tse di masome a mane le bosupa mo borwa jwa toropo ya Selebi-Phikwe gape o kwa tlase ga dikhilomethara tse di sa feteng lekgolo go tsweng molelwaneng wa Aferika Borwa. Mo palo bathong ya ngwaga wa 2001 dipalo di ne di le sekete, makgolo a mabedi le borataro.	mʊχapi kɪ mʊt͡sɪ ʊ ʊ mʊ k͡χʰaʊlʊŋ ja lɪχarɪ mʊ bʊt͡swana . mʊt͡sana ʊ ʊ dikʰilʊmɪtʰara t͡sɪ di masʊmɪ a manɪ lɪ bʊsupa mʊ bʊrwa d͡ʒwa tʊrʊpʊ ja sɪlɪbi pʰikwɪ χapɪ ʊ kwa t͡ɬasɪ χa dikʰilʊmɪtʰara t͡sɪ di sa fɪtɪŋ lɪk͡χʰʊlʊ χʊ t͡swɪŋ mʊlɪlwanɪŋ wa afɪrika bʊrwa . mʊ palʊ batʰʊŋ ja ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ bʊŋwɪ dipalʊ di nɪ di lɪ sɪkɪtɪ , mak͡χʰʊlʊ a mabɪdi lɪ bʊratarʊ .
Ditirelo tsa motlobo wa dibuka tsa Botswana ke tleseletso ya go letlelela bakwadi go anamisa dibuka tsa bone mo Botswana. Ditirelo tse di buletswe semmuso ka Phukwi a tlhola boferabobedi,ngwaga wa 1968.	ditirɪlʊ t͡sa mʊt͡ɬʊbʊ wa dibuka t͡sa bʊt͡swana kɪ t͡ɬɪsɪlɪt͡sʊ ja χʊ lɪt͡ɬɪlɪla bakwadi χʊ anamisa dibuka t͡sa bʊnɪ mʊ bʊt͡swana . ditirɪlʊ t͡sɪ di bulɪt͡swɪ sɪmmusʊ ka pʰukwi a t͡ɬʰʊla bʊfɪrabʊbɪdi , ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a maratarʊ lɪ bʊfɪra bʊbɪdi .
