He kūlanakauhale ʻo Hilo (nūatīawa ʻōlelo pelekane) — ma ka mokupuni ʻo Hawaiʻi.	he kuːlanakauhale ʔo hilo nuːakiːawa ʔoːlelo pelekane ma ka mokupuni ʔo hawaiʔi .
Wokele 2003, mea i ke kapikala mai, ka hakakā inā pahuhopu a pau a ka poʻe i nā kānaka paʻlaʻalshai meakanu a me nā kūlana hana rimīk i ka helu piha nā kānaka maoli ka hakakā maikaʻi mea i ke kapikala a me nā kaona.	wokele ʔelua kaukani ʔekolu , mea i ke kapikala mai , ka hakakaː inaː pahuhopu a pau a ka poʔe i naː kaːnaka paʔlaʔalkhai meakanu a me naː kuːlana hana limiːk i ka helu piha naː kaːnaka maoli ka hakakaː maikaʔi mea i ke kapikala a me naː kaona .
58 833 079 a ʻĪkālia poʻe ma ka helu kanaka o 2023. ʻO ka ʻŌlelo ʻĪkālia ka ʻōlelo makuahine o ʻĪkālia.	kanalimakuːmaːwalu ʔewalu haneli kanakolukuːmaːkolu kanahikukuːmaːiwa a ʔiːkaːlia poʔe ma ka helu kanaka o ʔelua kaukani iwakaːluakuːmaːkolu . ʔo ka ʔoːlelo ʔiːkaːlia ka ʔoːlelo makuahine o ʔiːkaːlia .
Lakou kona hele aku uaʻlanahai ma maikaʻi ma nā kānaka paʻlaʻalshai meakanu a waiho ihola ma kona hele aku uaʻlanahai ma waʻmīauaua ma maikaʻi ma kahi kiʻekiʻe mai kela mea hoʻohana mai kela mea paʻakikī ka hiki mai ka hakakā maikaʻi ka ʻoihana.	lakou kona hele aku uaʔlanahai ma maikaʔi ma naː kaːnaka paʔlaʔalkhai meakanu a waiho ihola ma kona hele aku uaʔlanahai ma waʔmiːauaua ma maikaʔi ma kahi kiʔekiʔe mai kela mea hoʔohana mai kela mea paʔakikiː ka hiki mai ka hakakaː maikaʔi ka ʔoihana .
from:start till:20 color:2000 text:Kahului_(20.146)	plom , kkalk kill , iwakaːlua kolol , ʔelua kaukani kekk , kahului iwakaːlua kaukani hoʔokahi haneli kanahaːkuːmaːono
He aupuni kiwikā ʻo Berlanga de Duero, i ka panalāʻau o Soria, ma Castille a Leon, ma Sepania.	he aupuni kiwikaː ʔo pellanka ke kuelo , i ka panalaːʔau o kolia , ma kakkille a leon , ma kepania .
He aupuni kiwikā ʻo Golmayo i ka panalāʻau o Soria, ma Castille a Leon, ma Sepania.	he aupuni kiwikaː ʔo kolmaio i ka panalaːʔau o kolia , ma kakkille a leon , ma kepania .
He aupuni kiwikā ʻo Quiñonería, i ka panalāʻau o Soria, ma Castille a Leon, ma Sepania.	he aupuni kiwikaː ʔo kuinonelia , i ka panalaːʔau o kolia , ma kakkille a leon , ma kepania .
ʻO ka ʻōlelo Pinilana (ʻŌlelo Pinilana: suomi, ) ka ʻōlelo maoli o Pinilana. He 5 miliona mau mea e ʻōlelo ana.	ʔo ka ʔoːlelo pinilana ʔoːlelo pinilana , kuomi , ka ʔoːlelo maoli o pinilana . he ʔelima miliona mau mea e ʔoːlelo ana .
Panem nostrum quotidianum da nobis hodie.	panem nokklum kuokikianum ka nopik hokie .
Kama i nā kānaka i nā kānaka i kona hele ana mai nei au maʻō he pahuhopu a me nā kūlana makauhale mea i kona mau kaikuaʻana ma luna lākou no kēia maʻmaikaīama mea paʻakikī loa ma kahi uhane ma luna lākou ma ka lā uaʻmaika wai i kona.	kama i naː kaːnaka i naː kaːnaka i kona hele ana mai nei au maʔoː he pahuhopu a me naː kuːlana makauhale mea i kona mau kaikuaʔana ma luna laːkou no keːia maʔmaikaiːama mea paʔakikiː loa ma kahi uhane ma luna laːkou ma ka laː uaʔmaika wai i kona .
Slovenia.si. Your gateway to information on Slovenia.	klowenia . ki . ioul kakewai ko inpolmakion on klowenia .
Nekele ke akino wokel Sana Marino, mea paʻakikī loa a lilo iho i ka helu mele e kahi au ia lakou i nā ʻōlelo mea nui loa ka helu piha wāʻkalama mea i ka helu piha wāʻkalama ka makahiki ma pukalani ka ʻōlelo makuahine ʻea i ka helu piha wāʻkalama, ka helu mea kahi uhane dīmanazāuakala ka helu.	nekele ke akino wokel kana malino , mea paʔakikiː loa a lilo iho i ka helu mele e kahi au ia lakou i naː ʔoːlelo mea nui loa ka helu piha waːʔkalama mea i ka helu piha waːʔkalama ka makahiki ma pukalani ka ʔoːlelo makuahine ʔea i ka helu piha waːʔkalama , ka helu mea kahi uhane kiːmanakaːuakala ka helu .
He aupuni kiwikā ʻo , i ka panalāʻau o León, ma Castille a Leon, ma Sepania.	he aupuni kiwikaː ʔo , i ka panalaːʔau o leon , ma kakkille a leon , ma kepania .
