# Hand review verdicts and readings — see review_ledger.py. Sorted by (lang, wav).
# `text` is CONTEXT so the diff is reviewable; --import verifies it and never writes it.
lang	wav	sentence_id	status	comment	read_text	read_text_src	text
bn_in	10437994657017572640.wav	1059	examined_clean	run 42: read and found correct — no defect			লিঙ্গ বর্ণিত হয়নি x বা কোনও পছন্দসই নাম এবং লিঙ্গের সাথে মেলেমিলিয়ে নথিগুলি আপডেট কড়া হয়েছে এমন ক্ষেত্রে পাসপোর্ট ইস্যু করার বিষয়ে সরকারের সদিচ্ছা পরিবর্তিত হয়।
bn_in	10749422918543800615.wav	430	examined_clean	run 42: read and found correct — no defect			তুরস্কের আয়তন হ্রদ সহ ৭৮৩,৫৬২ বর্গকিলোমিটার ৩০০,৯৪৮ বর্গ মাইল যার মধ্যে ৭৫৫,৬৮৮ বর্গকিলোমিটার ২৯১,৭৭৩ বর্গ মাইল দক্ষিণ পশ্চিম এশিয়ায় এবং ২৩,৭৬৪ বর্গকিলোমিটার ৯,১৭৪ বর্গ মাইল ইউরোপে।
bn_in	11107827470287568921.wav	195	examined_clean	run 42: read and found correct — no defect			2009 সালে হাঙ্গেরিয়ান গ্র্যান্ড প্রিক্সে দুর্ঘটনার পরে একজন ব্রাজিলিয়ান মাথায় গুরুতর আঘাত পেয়েছিলেন
bn_in	11200139983801017827.wav	1005	examined_clean	run 42: read and found correct — no defect			বর্তমানে প্রায়ই অর্থনীতি চিকিৎসা প্রকৌশল এবং সামরিক ক্ষেত্রে এআই সিস্টেমটি ব্যবহৃত হয় তাছাড়া বেশিরভাগ হোম কম্পিউটার এবং ভিডিও গেম সফ্টওয়্যার অ্যাপ্লিকেশনগুলিতে এটি অন্তনির্মিত হয়েছে
bn_in	11598352208587164076.wav	837	examined_clean	run 42: read and found correct — no defect			স্থাপত্যশিল্প সাধারণত বিল্ডিংগুলির নকশা এবং নির্মাণের সাথে জড়িত কোনও জায়গার স্থাপত্য প্রায়শই তার নিজস্ব সত্তার জন্য পর্যটকদের আকর্ষণকরে থাকে
bn_in	11742432627811973107.wav	69	examined_clean	run 42: read and found correct — no defect			লকউড গার্ডেনের ভাড়াটিয়ারা বিশ্বাস করেন যে আরও 40 টি বা তার বেশি পরিবার উচ্ছেদের সম্মুখীন হতে পারে কারণ তারা জানতে পেরেছে যে oha পুলিশ আবাসন কেলেঙ্কারীতে জড়িয়ে পড়া ওকল্যান্ডের অন্যান্য পাবলিক আবাসন সম্পত্তিও তদন্ত করছে
bn_in	12538414341123185591.wav	1175	examined_clean	run 42: read and found correct — no defect			ইতালির জাতীয় ফুটবল দল জার্মান জাতীয় ফুটবল দলের সাথে যৌথভাবে বিশ্বের দ্বিতীয় সর্বাধিক সফল দল এবং এটি 2006 সালে ফিফা বিশ্বকাপ চ্যাম্পিয়ন হয়েছিল
bn_in	1291472654530238958.wav	532	examined_clean	run 42: read and found correct — no defect			একটি নিয়মিত রাউন্ডের খেলা আঠারোটি গর্ততে হয়ে থাকে সাধারনত খেলোয়াড়েরা কোর্সে প্রথম গর্ত থেকে শুরু করে আঠারোতম গর্ততে শেষ করে
bn_in	13000800932875117397.wav	430	examined_clean	run 42: read and found correct — no defect			তুরস্কের আয়তন হ্রদ সহ ৭৮৩,৫৬২ বর্গকিলোমিটার ৩০০,৯৪৮ বর্গ মাইল যার মধ্যে ৭৫৫,৬৮৮ বর্গকিলোমিটার ২৯১,৭৭৩ বর্গ মাইল দক্ষিণ পশ্চিম এশিয়ায় এবং ২৩,৭৬৪ বর্গকিলোমিটার ৯,১৭৪ বর্গ মাইল ইউরোপে।
bn_in	140450516550307354.wav	828	examined_clean	run 42: read and found correct — no defect			যাঁরা আরাম সময় এবং ভবিষ্যদ্বাণীকে ত্যাগ করে ব্য়য় শূন্যের কাছাকাছি রাখতে পারবে তা ন্যূনতম বাজেটে ভ্রমণ করতে পারবেন
