# Khmer exceptions lexicon — word → canonical IPA for the RULE-UNPREDICTABLE residual (inherent-vowel length,
# internal-doubling, Pali/Sanskrit loanword vowels). Consumed dict-first by the shipped phonemizeWord ONLY;
# phonemizeWordRules (the referee-eval signal) never reads it, so the eval stays non-circular.
# Source: wikipron khm_khmr broad (human, from Wiktionary — CC-BY-SA 3.0), modal transcription per word,
# canonicalised (breve→plain, short-low a→ɑ, optional medial ʔ dropped). Generated by tools/gen/build-km-lexicon.mts.
កក្កដា	kɑkɑɗaː
កខ្វក់	kɑʋɑʔ
កងពលតូច	kɑːŋpuəltouc
កងយោធពល	kɑːŋjoːtʰeəpuəl
កង់ហ្គូរូ	kɑŋɡuːruː
កង្វល់	kɑŋʋɑl
កច្ចជាតិ	kɑccɑciət
កញ្ចក់	kɑɲcɑʔ
កញ្ចប់	kɑɲcɑp
កដិពន្ធ	kɑɗepoən
កដ្ឋមណ្ឌូ	kɑːɗmɑːnɗuː
កណិការ	kɑːnekaː
កណ្ដក	kɑnɗɑkɑʔ
កណ្ដុរ	kɑnɗao
កតញ្ញុតា	kɑtɑɲɲutaː
កតវេទី	kɑtɑʋeitiː
កតិកា	kɑtekaː
កត្តិក	kɑtɗək
កនិដ្ឋ	kɑnɨt
កនិដ្ឋា	kɑnɨttʰaː
កន្តាំង	kɑntɑŋ
កន្ទក់	kɑntuəʔ
កន្ទល់	kɑntuəl
កន្ទេល	kɑnteil
កប៌ូរ	kaːɓou
កមល	kɑmɑl
កម្ញី	kɑmmɲəj
កម្ពស់	kɑmpuəh
កម្មករ	kɑmkɑː
កម្មដ្ឋាន	kɑmmɑttʰaːn
កម្មន្ត	kɑmmɑntɑʔ
កម្មន្តសាល	kɑmmɑnnɔsaːl
កម្មបទ	kɑmɓɑt
កម្មវិធី	kɑmmɑʋitʰiː
កម្មាធិការ	kɑmmaːtʰikaː
កម្លាំង	kɑmlɑŋ
ករណីយកិច្ច	kɑrɑnəjjɑkəc
ករុណា	kɑrunaː
កល	kɑl
កលហ	kɑlɑhɑʔ
កលិយុគ	kɑllijuk
កវកាប្យ	kɑʋeəkaːp
កសិកម្ម	kɑsekɑm
កសិករ	kɑsekɑː
កសិដ្ឋាន	kɑsəttʰaːn
កសិណសាក្សី	kɑsənsɑksəj
កាកបាទ	kɑkɑɓaːt
កាដូលីញ៉ូម	kaːɗouliːɲoum
កាណ៌	kaː
កាតាំង	kaːtɑŋ
កាតូលិក	kaːtoulɨk
កាត់ម្យូម	kɑtmjuːm
កាប់វែរ	kɑpʋɛː
កាប៌ាស	kaːɓaːh
កាពិ	kaːpiʔ
កាមគុណ	kaːmmeəkun
កាមសុខ	kaːmeəsok
កាមីញ៉ុង	kaːmiːɲoŋ
កាមេរូន	kaːmeiruːn
កាមេរ៉ា	kaːmeiraː
កាយវិការ	kaːjʋikaː
ការណដ្ឋាន	kaːrɑnɑtʰaːn
ការន្ត	kaːroən
ការប្រកាស	kaːprɑːkaːh
ការឱបរឹត	kaːʔaoprɨt
ការិនី	kaːrenəj
ការិយកម្ម	kaːrejɑkɑm
ការិយកិច្ច	kaːrejɑkəc
ការិយាធិបតេយ្យ	kaːrejaːtʰipɑtaj
ការិយាល័យ	kaːrijaːlaj
ការី	kaːriː
កាលកិរិយា	kaːlɑkerejaː
កាលប្រវត្តិ	kaːlɑprɑʋoət
កាលីហ្វ័រញ៉ា	kaːliːhʋoəɲaː
កាលៈទេសៈ	kaːlɑteisɑʔ
កាល្យូម	kaːljuːm
កាស៊ីណូ	kaːsiːnou
កាហ្វេ	kaːfeː
កាហ្វេអ៊ីន	kaːfeːʔiːn
